北京卫视4K,rtp://239.253.64.92:5140
东方卫视4K,rtp://239.253.64.63:5140
广东卫视4K,rtp://239.253.64.96:5140
深圳卫视4K,rtp://239.253.64.95:5140
湖南卫视4K,rtp://239.253.64.60:5140
山东卫视4K,rtp://239.253.64.65:5140
四川卫视4K,rtp://239.253.64.64:5140
浙江卫视4K,rtp://239.253.64.62:5140
江苏卫视4K,rtp://239.253.64.61:5140
爱上4K,rtp://239.253.64.243:5140
CCTV16-4K,rtp://239.253.64.126:5140
CCTV1,rtp://239.253.64.120:5140
CCTV2,rtp://239.253.64.195:5140
CCTV3,rtp://239.253.64.244:5140
CCTV4,rtp://239.253.64.196:5140
CCTV5,rtp://239.253.64.245:5140
CCTV5+,rtp://239.253.64.100:5140
CCTV6,rtp://239.253.64.246:5140
CCTV7,rtp://239.253.64.54:5140
CCTV8,rtp://239.253.64.247:5140
CCTV9,rtp://239.253.64.76:5140
CCTV10,rtp://239.253.64.87:5140
CCTV11,rtp://239.253.64.70:5140
CCTV12,rtp://239.253.64.97:5140
CCTV13,rtp://239.253.64.59:5140
CCTV14,rtp://239.253.64.115:5140
CCTV15,rtp://239.253.64.72:5140
CCTV16,rtp://239.253.64.251:5140
CCTV17,rtp://239.253.64.67:5140
海南新闻HD,rtp://239.253.64.121:5140
海南公共HD,rtp://239.253.64.14:5140
海南文旅HD,rtp://239.253.64.122:5140
海南少儿,rtp://239.253.64.124:5140
海南自贸HD,rtp://239.253.64.119:5140
CETV1,rtp://239.253.64.169:5140
CGTN纪录,rtp://239.253.64.58:5140
金鹰纪实,rtp://239.253.64.168:5140
国学,rtp://239.253.64.222:5140
重庆卫视,rtp://239.253.64.55:5140
江苏卫视,rtp://239.253.64.202:5140
浙江卫视,rtp://239.253.64.206:5140
东方卫视,rtp://239.253.64.201:5140
深圳卫视,rtp://239.253.64.203:5140
北京卫视,rtp://239.253.64.204:5140
山东卫视,rtp://239.253.64.208:5140
天津卫视,rtp://239.253.64.198:5140
贵州卫视,rtp://239.253.64.197:5140
黑龙江卫视,rtp://239.253.64.205:5140
安徽卫视,rtp://239.253.64.129:5140
江西卫视,rtp://239.253.64.56:5140
湖北卫视,rtp://239.253.64.207:5140
旅游卫视,rtp://239.253.64.253:5140
东南卫视,rtp://239.253.64.79:5140
东南卫视,rtp://239.253.64.66:5140
吉林卫视,rtp://239.253.64.57:5140
辽宁卫视,rtp://239.253.64.150:5140
湖南卫视,rtp://239.253.64.114:5140
广东卫视,rtp://239.253.64.200:5140
河南卫视,rtp://239.253.64.157:5140
河北卫视,rtp://239.253.64.210:5140
宁夏卫视,rtp://239.253.64.88:5140
甘肃卫视,rtp://239.253.64.156:5140
新疆卫视,rtp://239.253.64.85:5140
西藏卫视,rtp://239.253.64.84:5140
兵团卫视,rtp://239.253.64.86:5140
三沙卫视,rtp://239.253.64.112:5140
睛彩竞技,rtp://239.253.64.151:5140
睛彩广场舞,rtp://239.253.64.154:5140
睛彩篮球,rtp://239.253.64.152:5140
睛彩青少,rtp://239.253.64.153:5140
古装剧场,rtp://239.253.64.221:5140
军旅剧场,rtp://239.253.64.228:5140
少儿动画,rtp://239.253.64.232:5140
IPTV3HD,rtp://239.253.64.238:5140
IPTV3HD,rtp://239.253.64.10:5140
IPTV5HD,rtp://239.253.64.125:5140
IPTV5HD,rtp://239.253.64.26:5140
IPTV8HD,rtp://239.253.64.160:5140
IPTV8HD,rtp://239.253.64.164:5140
热播剧场,rtp://239.253.64.211:5140
经典电影,rtp://239.253.64.227:5140
魅力时尚,rtp://239.253.64.231:5140
谍战剧场,rtp://239.253.64.212:5140
IPTV相声小品HD,rtp://239.253.64.214:5140
IPTV野外HD,rtp://239.253.64.215:5140
IPTV法治HD,rtp://239.253.64.213:5140
华数城市剧场,rtp://239.253.64.218:5140
音乐现场,rtp://239.253.64.235:5140
地理HD,rtp://239.253.64.219:5140
美人HD,rtp://239.253.64.123:5140
解密HD,rtp://239.253.64.141:5140
军事HD,rtp://239.253.64.229:5140
戏曲HD,rtp://239.253.64.234:5140
早教HD,rtp://239.253.64.236:5140
动画HD,rtp://239.253.64.163:5140
好学生HD,rtp://239.253.64.223:5140
墨宝HD,rtp://239.253.64.158:5140
爱生活HD,rtp://239.253.64.216:5140
武术HD,rtp://239.253.64.170:5140
高网HD,rtp://239.253.64.250:5140
足球HD,rtp://239.253.64.237:5140
武侠剧场,rtp://239.253.64.254:5140
喜剧影院,rtp://239.253.64.233:5140
动作影院,rtp://239.253.64.220:5140
家庭影院,rtp://239.253.64.225:5140
爱上4KHD,rtp://239.253.64.49:5140
精选,rtp://239.253.64.224:5140
